occupation,p_automation,routineness,complexity,stratum,,,,,,,,,,,,,,,
Telecom and line installers and repairers,0.425,0.234,0.528,1,,,,,,,,,,,,,,,
"Repairers of electrical equipment, n.e.c.",0.65,0.468,0.618,1,,,,,,,,,,,,,,,
"Heating, air conditioning, and refrigeration mechanics",0.65,0.392,0.623,1,,,,,,,,,,,,,,,
"Precision makers, repairers, and smiths",0.785,0.896,0.432,1,,,,,,,,,,,,,,,
Locksmiths and safe repairers,0.77,0.598,0.418,1,,,,,,,,,,,,,,,
Repairers of mechanical controls and valves,0.63,0.601,0.305,1,,,,,,,,,,,,,,,
Elevator installers and repairers,0.39,0.407,0.538,1,,,,,,,,,,,,,,,
Millwrights,0.59,0.294,0.583,1,,,,,,,,,,,,,,,
"Mechanics and repairers, n.e.c.",0.5,0.44,0.383,1,,,,,,,,,,,,,,,
Supervisors of construction work,0.17,0.115,0.678,2,,,,,,,,,,,,,,,
"Masons, tilers, and carpet installers",0.847,0.404,0.269,1,,,,,,,,,,,,,,,
Carpenters,0.72,0.206,0.412,1,,,,,,,,,,,,,,,
Drywall installers,0.79,0.544,0.114,1,,,,,,,,,,,,,,,
Electricians,0.15,0.285,0.568,1,,,,,,,,,,,,,,,
Electric power installers and repairers,0.097,0.148,0.531,1,,,,,,,,,,,,,,,
"Painters, construction and maintenance",0.75,0.477,0.123,1,,,,,,,,,,,,,,,
Paperhangers,0.87,0.541,0.041,1,,,,,,,,,,,,,,,
Plasterers,0.84,0.334,0.27,1,,,,,,,,,,,,,,,
"Plumbers, pipe fitters, and steamfitters",0.35,0.364,0.392,1,,,,,,,,,,,,,,,
Concrete and cement workers,0.94,0.519,0.164,1,,,,,,,,,,,,,,,
Glaziers,0.73,0.55,0.169,1,,,,,,,,,,,,,,,
Insulation workers,0.735,0.367,0.321,1,,,,,,,,,,,,,,,
"Paving, surfacing, and tamping equipment operators",0.83,0.525,0.24,1,,,,,,,,,,,,,,,
Roofers and slaters,0.9,0.352,0.374,1,,,,,,,,,,,,,,,
Structural metal workers,0.83,0.337,0.178,1,,,,,,,,,,,,,,,
Drillers of earth,0.85,0.358,0.275,1,,,,,,,,,,,,,,,
Misc. construction and related occupations,0.71,0.413,0.349,1,,,,,,,,,,,,,,,
Drillers of oil wells,0.53,0.434,0.498,1,,,,,,,,,,,,,,,
Explosives workers,0.48,0.252,0.72,1,,,,,,,,,,,,,,,
Miners,0.565,0.559,0.293,1,,,,,,,,,,,,,,,
Other mining occupations,0.93,0.568,0.063,1,,,,,,,,,,,,,,,
Production supervisors or foremen,0.016,0.2,0.617,2,,,,,,,,,,,,,,,
Tool and die makers and die setters,0.84,0.899,0.58,1,,,,,,,,,,,,,,,
Machinists,0.91,0.711,0.512,1,,,,,,,,,,,,,,,
Boilermakers,0.68,0.534,0.502,1,,,,,,,,,,,,,,,
Patternmakers and model makers,0.915,0.933,0.322,1,,,,,,,,,,,,,,,
Engravers,0.98,0.79,0.244,1,,,,,,,,,,,,,,,
Cabinetmakers and bench carpeters,0.92,0.325,0.42,1,,,,,,,,,,,,,,,
"Furniture/wood finishers, other prec. wood workers",0.87,0.939,0.131,1,,,,,,,,,,,,,,,
"Dressmakers, seamstresses, and tailors",0.84,0.574,0.177,1,,,,,,,,,,,,,,,
Upholsterers,0.39,0.835,0.393,1,,,,,,,,,,,,,,,
"Hand molders and shapers, except jewelers",0.9,0.686,0.292,1,,,,,,,,,,,,,,,
Bookbinders,0.95,0.607,0.36,1,,,,,,,,,,,,,,,
Butchers and meat cutters,0.93,0.635,0.032,1,,,,,,,,,,,,,,,
Bakers,0.89,0.902,0.173,1,,,,,,,,,,,,,,,
Batch food makers,0.7,0.677,0.275,1,,,,,,,,,,,,,,,
Water and sewage treatment plant operators,0.61,0.465,0.571,1,,,,,,,,,,,,,,,
Power plant operators,0.85,0.237,0.716,1,,,,,,,,,,,,,,,
"Plant and system operators, stationary engineers",0.87,0.492,0.537,1,,,,,,,,,,,,,,,
Other plant and system operators,0.86,0.51,0.575,1,,,,,,,,,,,,,,,
"Lathe, milling, and turning machine operatives",0.84,0.729,0.252,1,,,,,,,,,,,,,,,
"Rollers, roll hands, and finishers of metal",0.83,0.641,0.425,1,,,,,,,,,,,,,,,
Drilling and boring machine operators,0.94,0.832,0.34,1,,,,,,,,,,,,,,,
"Grinding, abrading, buffing, and polishing workers",0.95,0.917,0.424,1,,,,,,,,,,,,,,,
Molders and casting machine operators,0.95,0.699,0.041,1,,,,,,,,,,,,,,,
Heat treating equipment operators,0.91,0.623,0.346,1,,,,,,,,,,,,,,,
Sawing machine operators and sawyers,0.86,0.617,0.058,1,,,,,,,,,,,,,,,
"Nail, tacking, shaping and joining mach ops (wood)",0.96,0.689,0.178,1,,,,,,,,,,,,,,,
Winding and twisting textile and apparel operatives,0.96,0.884,0.275,1,,,,,,,,,,,,,,,
"Knitters, loopers, and toppers textile operatives",0.73,0.969,0.033,1,,,,,,,,,,,,,,,
Textile cutting and dyeing machine operators,0.96,0.726,0.336,1,,,,,,,,,,,,,,,
Textile sewing machine operators,0.89,0.656,0.042,1,,,,,,,,,,,,,,,
Shoemaking machine operators,0.97,0.714,0.025,1,,,,,,,,,,,,,,,
Clothing pressing machine operators,0.81,0.86,0.002,1,,,,,,,,,,,,,,,
"Packers, fillers, and wrappers",0.98,0.759,0.276,1,,,,,,,,,,,,,,,
Extruding and forming machine operators,0.93,0.702,0.3,1,,,,,,,,,,,,,,,
Mixing and blending machine operators,0.83,0.823,0.355,1,,,,,,,,,,,,,,,
"Separating, filtering, and clarifying machine operators",0.88,0.653,0.529,1,,,,,,,,,,,,,,,
Food roasting and baking machine operators,0.91,0.857,0.071,1,,,,,,,,,,,,,,,
"Washing, cleaning, and pickling machine operators",0.81,0.693,0.032,1,,,,,,,,,,,,,,,
Paper folding machine operators,0.67,0.677,0.233,1,,,,,,,,,,,,,,,
"Furnace, kiln, and oven operators, apart from food",0.37,0.492,0.176,1,,,,,,,,,,,,,,,
"Slicing, cutting, crushing and grinding machine",0.86,0.732,0.172,1,,,,,,,,,,,,,,,
Photographic process workers,0.99,0.851,0.299,1,,,,,,,,,,,,,,,
"Welders, solderers, and metal cutters",0.94,0.662,0.084,1,,,,,,,,,,,,,,,
Assemblers of electrical equipment,0.95,0.844,0.32,1,,,,,,,,,,,,,,,
Painting and decoration occupations,0.92,0.264,0.163,1,,,,,,,,,,,,,,,
Supervisors of motor vehicle transportation,0.029,0.17,0.569,2,,,,,,,,,,,,,,,
"Truck, delivery, and tractor drivers",0.74,0.139,0.233,1,,,,,,,,,,,,,,,
Bus drivers,0.78,0.063,0.127,1,,,,,,,,,,,,,,,
Taxi cab drivers and chauffeurs,0.89,0.079,0.281,1,,,,,,,,,,,,,,,
Parking lot attendants,0.87,0.06,0.055,1,,,,,,,,,,,,,,,
Railroad conductors and yardmasters,0.83,0.009,0.501,1,,,,,,,,,,,,,,,
Locomotive operators: engineers and firemen,0.945,0.03,0.362,1,,,,,,,,,,,,,,,
"Railroad brake, coupler, and switch operators",0.83,0.155,0.337,1,,,,,,,,,,,,,,,
Ship crews and marine engineers,0.01,0.069,0.576,1,,,,,,,,,,,,,,,
Operating engineers of construction equipment,0.95,0.416,0.274,1,,,,,,,,,,,,,,,
"Crane, derrick, winch, hoist, longshore operators",0.823,0.717,0.296,1,,,,,,,,,,,,,,,
Excavating and loading machine operators,0.94,0.398,0.128,1,,,,,,,,,,,,,,,
"Helpers, constructions",0.787,0.571,0.278,1,,,,,,,,,,,,,,,
Construction laborers,0.88,0.462,0.264,1,,,,,,,,,,,,,,,
Production helpers,0.66,0.768,0.054,1,,,,,,,,,,,,,,,
Garbage and recyclable material collectors,0.93,0.799,0.048,1,,,,,,,,,,,,,,,
Machine feeders and offbearers,0.93,0.705,0.117,1,,,,,,,,,,,,,,,
Garage and service station related occupations,0.91,0.765,0.062,1,,,,,,,,,,,,,,,
Vehicle washers and equipment cleaners,0.37,0.793,0.002,1,,,,,,,,,,,,,,,
Packers and packagers by hand,0.38,0.89,0.039,1,,,,,,,,,,,,,,,
"Laborers, freight, stock, and material handlers, n.e.c.",0.85,0.498,0.161,1,,,,,,,,,,,,,,,
